source_file,subject_id,rt,stimulus_image,image_idx,response,correct_choice,choices,correct
obj_2afc_585252.csv,585252,940.69999999553,../../images/project_obj_2AFC/im53.png,53,0,7,"[7,0]",True
obj_2afc_585252.csv,585252,1039.19999999553,../../images/project_obj_2AFC/im46.png,46,1,4,"[9,4]",True
obj_2afc_585252.csv,585252,842.5,../../images/project_obj_2AFC/im3.png,3,1,0,"[7,0]",True
obj_2afc_585252.csv,585252,923.89999999851,../../images/project_obj_2AFC/im26.png,26,1,2,"[7,2]",True
obj_2afc_585252.csv,585252,973.89999999851,../../images/project_obj_2AFC/im36.png,36,0,3,"[3,9]",True
obj_2afc_585252.csv,585252,823.39999999851,../../images/project_obj_2AFC/im21.png,21,1,2,"[7,2]",True
obj_2afc_585252.csv,585252,889.39999999851,../../images/project_obj_2AFC/im10.png,10,0,1,"[1,9]",True
obj_2afc_585252.csv,585252,840.10000000149,../../images/project_obj_2AFC/im52.png,52,1,7,"[1,7]",True
obj_2afc_585252.csv,585252,756.89999999851,../../images/project_obj_2AFC/im19.png,19,1,1,"[7,1]",True
obj_2afc_585252.csv,585252,838.29999999702,../../images/project_obj_2AFC/im42.png,42,0,4,"[4,0]",True
obj_2afc_585252.csv,585252,956.60000000149,../../images/project_obj_2AFC/im56.png,56,1,7,"[9,7]",True
obj_2afc_585252.csv,585252,1206.19999999553,../../images/project_obj_2AFC/im17.png,17,0,1,"[1,0]",True
obj_2afc_585252.csv,585252,955.89999999851,../../images/project_obj_2AFC/im31.png,31,0,3,"[3,2]",True
obj_2afc_585252.csv,585252,906.69999999553,../../images/project_obj_2AFC/im49.png,49,1,4,"[2,4]",True
obj_2afc_585252.csv,585252,955.70000000298,../../images/project_obj_2AFC/im32.png,32,1,3,"[9,3]",True
obj_2afc_585252.csv,585252,889.5,../../images/project_obj_2AFC/im47.png,47,1,4,"[3,4]",True
obj_2afc_585252.csv,585252,906.39999999851,../../images/project_obj_2AFC/im38.png,38,0,3,"[3,1]",True
obj_2afc_585252.csv,585252,889.89999999851,../../images/project_obj_2AFC/im55.png,55,1,7,"[9,7]",True
obj_2afc_585252.csv,585252,2155.5,../../images/project_obj_2AFC/im13.png,13,1,1,"[7,1]",True
obj_2afc_585252.csv,585252,856.20000000298,../../images/project_obj_2AFC/im22.png,22,0,2,"[2,9]",True
obj_2afc_585252.csv,585252,1172.79999999702,../../images/project_obj_2AFC/im51.png,51,0,7,"[7,0]",True
obj_2afc_585252.csv,585252,974.40000000596,../../images/project_obj_2AFC/im30.png,30,0,3,"[3,7]",True
obj_2afc_585252.csv,585252,873,../../images/project_obj_2AFC/im34.png,34,0,3,"[3,1]",True
obj_2afc_585252.csv,585252,888.20000000298,../../images/project_obj_2AFC/im23.png,23,0,2,"[2,3]",True
obj_2afc_585252.csv,585252,971.5,../../images/project_obj_2AFC/im4.png,4,0,0,"[0,9]",True
obj_2afc_585252.csv,585252,1005.69999999553,../../images/project_obj_2AFC/im14.png,14,1,1,"[2,1]",True
obj_2afc_585252.csv,585252,923.30000000447,../../images/project_obj_2AFC/im29.png,29,0,2,"[2,7]",True
obj_2afc_585252.csv,585252,838,../../images/project_obj_2AFC/im28.png,28,0,2,"[2,0]",True
obj_2afc_585252.csv,585252,1074.19999999553,../../images/project_obj_2AFC/im54.png,54,1,7,"[2,7]",True
obj_2afc_585252.csv,585252,939.10000000149,../../images/project_obj_2AFC/im58.png,58,1,7,"[9,7]",True
obj_2afc_585252.csv,585252,922.89999999851,../../images/project_obj_2AFC/im18.png,18,1,1,"[7,1]",True
obj_2afc_585252.csv,585252,859.89999999851,../../images/project_obj_2AFC/im59.png,59,1,7,"[1,7]",True
obj_2afc_585252.csv,585252,1073.69999999553,../../images/project_obj_2AFC/im20.png,20,1,2,"[0,2]",True
obj_2afc_585252.csv,585252,739.09999999404,../../images/project_obj_2AFC/im25.png,25,1,2,"[9,2]",True
obj_2afc_585252.csv,585252,940.10000000149,../../images/project_obj_2AFC/im6.png,6,0,0,"[0,9]",True
obj_2afc_585252.csv,585252,756.39999999851,../../images/project_obj_2AFC/im45.png,45,0,4,"[4,7]",True
obj_2afc_585252.csv,585252,806.60000000149,../../images/project_obj_2AFC/im7.png,7,0,0,"[0,9]",True
obj_2afc_585252.csv,585252,1073.70000000298,../../images/project_obj_2AFC/im57.png,57,1,7,"[2,7]",True
obj_2afc_585252.csv,585252,790.30000000447,../../images/project_obj_2AFC/im1.png,1,1,0,"[9,0]",True
obj_2afc_585252.csv,585252,1156.20000000298,../../images/project_obj_2AFC/im16.png,16,0,1,"[1,0]",True
obj_2afc_585252.csv,585252,939.39999999851,../../images/project_obj_2AFC/im0.png,0,1,0,"[9,0]",True
obj_2afc_585252.csv,585252,822.19999999553,../../images/project_obj_2AFC/im15.png,15,1,1,"[9,1]",True
obj_2afc_585252.csv,585252,1157.79999999702,../../images/project_obj_2AFC/im5.png,5,0,0,"[0,2]",True
obj_2afc_585252.csv,585252,1089.19999999553,../../images/project_obj_2AFC/im11.png,11,0,1,"[1,0]",True
obj_2afc_585252.csv,585252,990.39999999851,../../images/project_obj_2AFC/im9.png,9,1,0,"[3,0]",True
obj_2afc_585252.csv,585252,940,../../images/project_obj_2AFC/im8.png,8,1,0,"[2,0]",True
obj_2afc_585252.csv,585252,838.89999999851,../../images/project_obj_2AFC/im12.png,12,0,1,"[1,7]",True
obj_2afc_585252.csv,585252,1023.29999999702,../../images/project_obj_2AFC/im43.png,43,0,4,"[4,2]",True
obj_2afc_585252.csv,585252,1021.79999999702,../../images/project_obj_2AFC/im37.png,37,1,3,"[0,3]",True
obj_2afc_950525.csv,950525,1952.09999999404,../../images/project_obj_2AFC/im39.png,39,1,3,"[1,3]",True
obj_2afc_950525.csv,950525,2458.5,../../images/project_obj_2AFC/im41.png,41,1,4,"[4,0]",False
obj_2afc_950525.csv,950525,1945.5,../../images/project_obj_2AFC/im2.png,2,1,0,"[7,0]",True
obj_2afc_950525.csv,950525,940.600000008941,../../images/project_obj_2AFC/im48.png,48,1,4,"[3,4]",True
obj_2afc_950525.csv,950525,1391.70000000298,../../images/project_obj_2AFC/im50.png,50,0,7,"[7,1]",True
obj_2afc_950525.csv,950525,1132.29999999702,../../images/project_obj_2AFC/im44.png,44,1,4,"[0,4]",True
obj_2afc_950525.csv,950525,871.399999991059,../../images/project_obj_2AFC/im33.png,33,0,3,"[3,7]",True
obj_2afc_950525.csv,950525,1516.69999998808,../../images/project_obj_2AFC/im35.png,35,1,3,"[0,3]",True
obj_2afc_950525.csv,950525,901.100000008941,../../images/project_obj_2AFC/im40.png,40,1,4,"[2,4]",True
