subject_id,reactionTime,choices_1,choices_2,correct,image_idx
871576,716.29999999702,6,8,1,120
871576,977.10000000149,1,0,1,18
871576,672.300000000745,5,3,1,68
871576,706.699999999255,6,7,1,142
871576,1036.39999999851,4,7,1,86
871576,842.699999999255,0,9,1,18
871576,582.10000000149,1,3,1,24
871576,967.900000002235,5,3,1,76
871576,657.89999999851,9,3,1,180
871576,2869,5,8,1,163
871576,2283.10000000149,7,6,0,122
871576,677.20000000298,5,8,1,173
324960,NaN,9,0,NaN,2
324960,1453.89999985695,8,1,1,161
324960,2829.20000004768,9,0,0,0
324960,1472.40000009537,5,1,1,22
324960,433.099999904633,4,0,0,18
324960,302.400000095367,0,5,1,8
324960,1197.60000014305,0,2,1,2
324960,2441.60000014305,8,9,1,163
324960,1431.39999985695,7,1,1,142
324960,1258.70000004768,7,4,1,143
324960,1580.20000004768,6,3,1,130
324960,1746.5,0,2,1,44
324960,1737,3,5,1,103
324960,1356.5,8,1,1,31
324960,1527.10000014305,9,4,1,199
324960,1344.59999990463,5,2,1,103
324960,1500.5,7,9,1,142
324960,1496.30000019073,9,8,1,163
324960,1652.79999995232,5,0,1,101
324960,1258.89999985695,2,9,1,199
324960,1606.70000004768,5,2,1,41
324960,1240.5,1,8,1,173
324960,1408.39999985695,4,8,1,81
324960,1600.09999990463,2,4,1,44
324960,1258.29999995232,4,2,1,87
324960,1123.59999990463,1,4,1,31
324960,1330.5,1,6,1,25
324960,1195.29999995232,9,7,1,180
324960,1461.90000009537,5,1,1,31
324960,1261.40000009537,7,5,1,103
324960,1294.40000009537,1,2,1,46
324960,2205.79999995232,3,2,1,41
324960,1442.5,6,1,1,25
324960,1294.20000004768,4,7,1,142
324960,1292.70000004768,1,2,1,25
324960,1301.30000019073,3,6,1,76
324960,1227,3,4,1,76
324960,2221.09999990463,5,1,1,105
324960,1333.20000004768,5,9,1,191
324960,2874.5,8,3,1,63
324960,1274.90000009537,0,6,1,122
324960,2776,1,0,1,24
324960,1838.09999990463,0,4,0,86
324960,1370.79999995232,7,1,1,24
324960,1195.40000009537,9,1,1,199
324960,1367.20000004768,2,8,1,172
324960,1652.09999990463,1,7,1,144
324960,1355.89999985695,0,7,1,142
324960,1324.59999990463,8,9,1,161
324960,1332.89999985695,6,8,1,161
324960,1511.30000019073,4,5,1,81
324960,1170.09999990463,5,4,1,81
324960,1305.09999990463,2,1,1,41
324960,1265.79999995232,8,6,1,122
324960,1251.20000004768,9,7,1,199
324960,1961.89999985695,1,0,1,0
324960,1217.40000009537,1,2,1,22
324960,1345.10000014305,5,6,1,130
324960,1349.59999990463,0,8,1,173
324960,1383.30000019073,3,1,1,63
192648,1139.09999999404,4,0,1,81
192648,609.79999999702,5,3,0,63
192648,632.59999999404,9,2,1,54
192648,588.800000011921,2,1,1,31
192648,589.70000000298,5,7,1,142
192648,621.09999999404,8,2,1,44
192648,802,7,0,1,2
192648,692.09999999404,8,2,1,173
192648,683.79999999702,5,9,1,101
192648,815.59999999404,8,0,1,2
192648,628.20000000298,3,2,1,54
192648,862.59999999404,7,3,1,140
192648,845.20000000298,6,9,1,130
192648,1708.70000000298,1,4,0,87
192648,1002.70000000298,6,5,1,120
192648,800.70000000298,7,8,1,140
192648,831.29999999702,2,9,1,41
192648,652.40000000596,2,3,1,44
192648,592.5,2,1,1,54
192648,654.100000008941,0,1,1,24
192648,868.70000000298,3,8,1,173
192648,619.600000008941,3,9,1,68
192648,799.5,3,4,1,85
192648,549,3,1,1,31
192648,717.20000000298,0,4,1,81
192648,759.100000008941,8,9,1,172
192648,542.09999999404,8,1,1,24
192648,824.59999999404,1,9,1,22
192648,795.40000000596,5,0,1,0
192648,573.20000000298,4,1,1,24
192648,931.5,2,7,1,142
192648,813.20000000298,1,2,1,31
192648,833.300000011921,4,3,1,85
192648,762.40000000596,4,6,1,120
192648,889.5,0,8,1,18
192648,652.90000000596,8,3,1,163
192648,592,9,6,1,180
192648,1270.5,1,3,1,76
192648,625.5,3,8,1,68
192648,791,6,9,1,120
192648,1190.09999999404,6,5,1,123
192648,740,6,7,1,143
192648,850.600000008941,2,4,1,41
192648,648,2,4,1,81
